0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:46:35 +0530] "GET /ToDo/images/collabarator.svg HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:46:35 +0530] "GET /ToDo/images/color_icons.svg HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:46:35 +0530] "GET /ToDo/images/picture.svg HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:46:35 +0530] "GET /ToDo/images/archives.svg HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:46:35 +0530] "GET /ToDo/images/vert.svg HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/ HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/bower_components/angular-material/angular-material.css HTTP/1.1" 200 540294
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/bower_components/angular-ui-router/release/angular-ui-router.js HTTP/1.1" 200 418220
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/bower_components/angular-aria/angular-aria.js HTTP/1.1" 200 15470
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/bower_components/angular/angular.js HTTP/1.1" 200 1270821
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/bower_components/angular-material/angular-material.js HTTP/1.1" 200 1242315
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/bower_components/angular-animate/angular-animate.js HTTP/1.1" 200 151136
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/styles/topNavBar.css HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/styles/home.css HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/bower_components/angular-messages/angular-messages.js HTTP/1.1" 200 27902
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/scripts/app.js HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/controller/loginController.js HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/controller/registrationController.js HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/controller/homeController.js HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/controller/setPasswordController.js HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/controller/passwordController.js HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/services/registrationService.js HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/services/loginService.js HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/services/homeService.js HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/directives/homeDirectives.js HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/services/passwordService.js HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/services/setPasswordService.js HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/templates/Home.html HTTP/1.1" 200 4025
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/bower_components/angular-ui-router/release/angular-ui-router.js.map HTTP/1.1" 200 731620
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/templates/TopNavBar.html HTTP/1.1" 200 2867
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/templates/SideNavBar.html HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/noteList HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/images/ic_dehaze_black_48px.svg HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/images/remindMe.svg HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/images/color_icons.svg HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/images/collabarator.svg HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/images/picture.svg HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/images/archives.svg HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:22 +0530] "GET /ToDo/images/vert.svg HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:43 +0530] "DELETE /ToDo/delete%20+id HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:43 +0530] "GET /ToDo/noteList HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:45 +0530] "DELETE /ToDo/delete%20+id HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:45 +0530] "GET /ToDo/noteList HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:46 +0530] "DELETE /ToDo/delete%20+id HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:46 +0530] "GET /ToDo/noteList HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:48 +0530] "DELETE /ToDo/delete%20+id HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:48 +0530] "GET /ToDo/noteList HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:51 +0530] "DELETE /ToDo/delete%20+id HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:51 +0530] "GET /ToDo/noteList HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:54 +0530] "DELETE /ToDo/delete%20+id HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:47:54 +0530] "GET /ToDo/noteList HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/ HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/bower_components/angular-material/angular-material.css HTTP/1.1" 200 540294
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/bower_components/angular-aria/angular-aria.js HTTP/1.1" 200 15470
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/bower_components/angular-animate/angular-animate.js HTTP/1.1" 200 151136
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/bower_components/angular/angular.js HTTP/1.1" 200 1270821
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/bower_components/angular-ui-router/release/angular-ui-router.js HTTP/1.1" 200 418220
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/bower_components/angular-material/angular-material.js HTTP/1.1" 200 1242315
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/styles/topNavBar.css HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/styles/home.css HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/bower_components/angular-messages/angular-messages.js HTTP/1.1" 200 27902
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/scripts/app.js HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/controller/registrationController.js HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/controller/homeController.js HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/controller/loginController.js HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/controller/setPasswordController.js HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/services/loginService.js HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/services/homeService.js HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/controller/passwordController.js HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/services/setPasswordService.js HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/services/passwordService.js HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/services/registrationService.js HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/directives/homeDirectives.js HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/templates/Home.html HTTP/1.1" 200 4025
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/bower_components/angular-ui-router/release/angular-ui-router.js.map HTTP/1.1" 200 731620
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/templates/TopNavBar.html HTTP/1.1" 200 2867
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/templates/SideNavBar.html HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/noteList HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/images/ic_dehaze_black_48px.svg HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/images/remindMe.svg HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/images/collabarator.svg HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/images/color_icons.svg HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/images/picture.svg HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/images/archives.svg HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:48:25 +0530] "GET /ToDo/images/vert.svg HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/ HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/bower_components/angular-material/angular-material.css HTTP/1.1" 200 540294
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/bower_components/angular/angular.js HTTP/1.1" 200 1270821
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/bower_components/angular-aria/angular-aria.js HTTP/1.1" 200 15470
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/bower_components/angular-animate/angular-animate.js HTTP/1.1" 200 151136
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/bower_components/angular-ui-router/release/angular-ui-router.js HTTP/1.1" 200 418220
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/bower_components/angular-material/angular-material.js HTTP/1.1" 200 1242315
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/bower_components/angular-messages/angular-messages.js HTTP/1.1" 200 27902
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/styles/topNavBar.css HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/styles/home.css HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/scripts/app.js HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/controller/registrationController.js HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/controller/loginController.js HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/controller/setPasswordController.js HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/controller/homeController.js HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/controller/passwordController.js HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/services/registrationService.js HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/services/loginService.js HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/services/homeService.js HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/directives/homeDirectives.js HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/services/setPasswordService.js HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/services/passwordService.js HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/templates/Home.html HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/bower_components/angular-ui-router/release/angular-ui-router.js.map HTTP/1.1" 200 731620
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/templates/TopNavBar.html HTTP/1.1" 200 2867
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/templates/SideNavBar.html HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/noteList HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:05 +0530] "GET /ToDo/images/ic_dehaze_black_48px.svg HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:06 +0530] "GET /ToDo/images/remindMe.svg HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:06 +0530] "GET /ToDo/images/collabarator.svg HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:06 +0530] "GET /ToDo/images/color_icons.svg HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:06 +0530] "GET /ToDo/images/picture.svg HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:06 +0530] "GET /ToDo/images/archives.svg HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [23/Nov/2017:11:50:06 +0530] "GET /ToDo/images/vert.svg HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/ HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/bower_components/angular-material/angular-material.css HTTP/1.1" 200 540294
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/bower_components/angular/angular.js HTTP/1.1" 200 1270821
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/bower_components/angular-animate/angular-animate.js HTTP/1.1" 200 151136
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/bower_components/angular-aria/angular-aria.js HTTP/1.1" 200 15470
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/bower_components/angular-ui-router/release/angular-ui-router.js HTTP/1.1" 200 418220
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/bower_components/angular-material/angular-material.js HTTP/1.1" 200 1242315
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/styles/topNavBar.css HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/styles/home.css HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/scripts/app.js HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/bower_components/angular-messages/angular-messages.js HTTP/1.1" 200 27902
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/controller/registrationController.js HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/controller/loginController.js HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/controller/homeController.js HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/controller/setPasswordController.js HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/controller/passwordController.js HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/services/registrationService.js HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/services/passwordService.js HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/services/loginService.js HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/directives/homeDirectives.js HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/services/setPasswordService.js HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/services/homeService.js HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/templates/Home.html HTTP/1.1" 200 5913
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/bower_components/angular-ui-router/release/angular-ui-router.js.map HTTP/1.1" 200 731620
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/templates/TopNavBar.html HTTP/1.1" 200 2867
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/templates/SideNavBar.html HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/images/remindMe.svg HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/images/collabarator.svg HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/images/color_icons.svg HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/noteList HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/images/picture.svg HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/images/archives.svg HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:48 +0530] "GET /ToDo/images/vert.svg HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:01:49 +0530] "GET /ToDo/images/ic_dehaze_black_48px.svg HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:02:14 +0530] "POST /ToDo/addNote HTTP/1.1" 201 60
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:02:14 +0530] "GET /ToDo/noteList HTTP/1.1" 200 1442
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:07 +0530] "GET /ToDo/ HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:07 +0530] "GET /ToDo/bower_components/angular-material/angular-material.css HTTP/1.1" 200 540294
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:07 +0530] "GET /ToDo/bower_components/angular/angular.js HTTP/1.1" 200 1270821
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:07 +0530] "GET /ToDo/bower_components/angular-animate/angular-animate.js HTTP/1.1" 200 151136
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:07 +0530] "GET /ToDo/bower_components/angular-aria/angular-aria.js HTTP/1.1" 200 15470
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:07 +0530] "GET /ToDo/bower_components/angular-ui-router/release/angular-ui-router.js HTTP/1.1" 200 418220
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:07 +0530] "GET /ToDo/bower_components/angular-material/angular-material.js HTTP/1.1" 200 1242315
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:07 +0530] "GET /ToDo/styles/home.css HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:07 +0530] "GET /ToDo/styles/topNavBar.css HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/bower_components/angular-messages/angular-messages.js HTTP/1.1" 200 27902
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/scripts/app.js HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/controller/registrationController.js HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/controller/loginController.js HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/controller/homeController.js HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/controller/setPasswordController.js HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/controller/passwordController.js HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/services/registrationService.js HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/services/homeService.js HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/services/passwordService.js HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/directives/homeDirectives.js HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/services/loginService.js HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/services/setPasswordService.js HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/templates/Home.html HTTP/1.1" 200 5888
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/bower_components/angular-ui-router/release/angular-ui-router.js.map HTTP/1.1" 200 731620
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/templates/TopNavBar.html HTTP/1.1" 200 2867
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/templates/SideNavBar.html HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/images/collabarator.svg HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/images/color_icons.svg HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/images/picture.svg HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/images/archives.svg HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/images/remindMe.svg HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/images/vert.svg HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/noteList HTTP/1.1" 200 1442
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:08 +0530] "GET /ToDo/images/ic_dehaze_black_48px.svg HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:30 +0530] "GET /ToDo/ HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:30 +0530] "GET /ToDo/bower_components/angular-material/angular-material.css HTTP/1.1" 200 540294
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:30 +0530] "GET /ToDo/bower_components/angular-aria/angular-aria.js HTTP/1.1" 200 15470
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:30 +0530] "GET /ToDo/bower_components/angular-animate/angular-animate.js HTTP/1.1" 200 151136
0:0:0:0:0:0:0:1 - - [23/Nov/2017:12:03:30 +0530] "GET /ToDo/bower_components/angular/angular.js HTTP/1.1" 200 1270821
